Item_Number,Set_Name,Theme,Pieces,Price,Amazon_Price,Year,Ages,Pages,Minifigures,Packaging,Weight,Unique_Pieces,Availability,Size
70669,Cole's Earth Driller,NINJAGO®,587,49.99,94.99,2019,Ages_8+,132,4,Box,0.95Kg (2.09 lb),216,Retail,Small
42092,Rescue Helicopter,Technic™,325,39.99,33.28,2019,Ages_8+,181,NA,Box,0.45Kg (0.99 lb),81,Retail,Small
41154,Cinderella's Dream Castle,Disney™,585,69.99,158.9,2018,Ages_6-12,132,2,Box,1.14Kg (2.51 lb),218,Retail,Small
75263,Resistance Y-wing Microfighter,Star Wars™,86,9.99,8.99,2020,Ages_6+,40,1,Box,NA,44,Retail,Small
42097,Compact Crawler Crane,Technic™,920,99.99,168,2019,Ages_10+,344,NA,Box,NA,102,NA,Small
41254,Volcano Rock City Concert,Trolls World Tour,387,39.99,32.88,2020,Ages_6+,120,3,Box,NA,175,Retail,Small
10765,Ariel's Underwater Concert,Juniors,92,14.99,30.48,2018,Ages_4-7,40,1,Box,NA,55,NA,Small
31101,Monster Truck,Creator 3-in-1,163,14.99,11.99,2020,Ages_7+,136,NA,Box,NA,54,Retail,Small
10750,Road Repair Truck,Juniors,73,9.99,32.92,2018,Ages_4-7,32,1,Box,0.15Kg (0.33 lb),50,Retail,Small
41404,Emma's Play Cube - Photographer,Friends,36,9.99,17.97,2020,Ages_6+,5,1,Box,NA,31,Retail,Small
75265,T-16 Skyhopper vs Bantha Microfighters,Star Wars™,198,19.99,17.99,2020,Ages_6+,84,2,Box,NA,100,Retail,Small
42079,Heavy Duty Forklift,Technic™,592,69.99,124.99,2018,Ages_9-16,232,NA,Box,1.25Kg (2.75 lb),109,Retail,Small
31071,Drone Explorer,Creator 3-in-1,109,9.99,19.88,2018,Ages_6-12,80,NA,Box,0.17Kg (0.37 lb),56,Retail,Small
10883,My First Tow Truck,DUPLO®,11,9.99,7.99,2019,Ages_1½+,10,NA,Box,0.26Kg (0.57 lb),10,Retail,Large
10897,My First Minnie Build,Disney™,10,9.99,8.99,2019,Ages_1½+,10,NA,Box,0.25Kg (0.55 lb),9,Retail,Small
41194,Noctura's Tower & the Earth Fox Rescue,NA,646,59.99,199.99,2018,Ages_9-12,44,4,Box,NA,227,Retail,NA
21321,International Space Station,Ideas,864,69.99,69.99,2020,Ages_16+,128,NA,Box,NA,186,Retail - limited,Small
60265,Ocean Exploration Base,City,497,79.99,79.95,2020,Ages_6+,165,5,Box,NA,180,Retail,Small
76134,Spider-Man: Doc Ock Diamond Heist,Marvel,150,29.99,36.99,2019,Ages_4+,96,3,Box,0.53Kg (1.17 lb),98,Retail,Small
41392,Nature Glamping,Friends,241,29.99,26.99,2020,Ages_6+,72,2,Box,NA,110,Retail,Small
10903,Fire Station,DUPLO®,76,49.99,44.99,2019,Ages_2+,34,2,NA,1.14Kg (2.51 lb),47,NA,Large
10860,My First Race Car,DUPLO®,6,4.99,9.45,2018,Ages_1½-3,9,NA,Box,0.13Kg (0.29 lb),6,Retail,Large
70653,Firstbourne,NINJAGO®,882,69.99,124,2018,Ages_9-14,172,6,Box,1.29Kg (2.84 lb),337,Retail,Small
76123,Captain America: Outriders Attack,Marvel,167,19.99,15.99,2019,Ages_6+,52,3,Box,NA,75,Retail,Small
41333,Olivia's Mission Vehicle,Friends,223,19.99,45.95,2018,Ages_6-12,84,1,Box,0.32Kg (0.7 lb),106,Retail,Small
76094,Mighty Micros: Supergirl vs. Brainiac,NA,80,9.99,14.09,2018,Ages_5-12,7,2,Box,NA,50,Retail,NA
41395,Friendship Bus,Friends,778,69.99,69.95,2020,Ages_8+,236,3,Box,NA,286,Retail,Small
31094,Race Plane,Creator 3-in-1,333,29.99,28.99,2019,Ages_7+,200,1,Box,0.64Kg (1.41 lb),134,Retail,Small
76165,Iron Man,Marvel,480,59.99,59.99,2020,Ages_18+,132,NA,Box,NA,123,Retail,Small
75933,T. Rex Transport,Jurassic World™,609,69.99,108.89,2018,Ages_7-12,156,3,Box,1.13Kg (2.49 lb),174,NA,Small
41345,Heartlake City Pet Centre,Friends,474,59.99,159.99,2018,Ages_6-12,108,3,Box,0.99Kg (2.18 lb),234,Retail,Small
60195,Arctic Mobile Exploration Base,City,786,119.99,155.29,2018,Ages_7-12,236,6,Box,1.56Kg (3.43 lb),255,Retail,Small
75264,Kylo Ren's Shuttle Microfighter,Star Wars™,72,9.99,9.84,2020,Ages_6+,40,1,Box,NA,40,Retail,Small
76158,Batboat The Penguin Pursuit!,Batman™,54,9.99,9.89,2020,Ages_4+,44,2,Box,NA,41,Retail,Small
41902,Sparkly Unicorn Bracelet,DOTS,33,4.99,4.99,2020,Ages_6+,NA,NA,Foil pack,NA,9,Retail,Small
10405,Mission to Mars,Classic,871,59.99,89.99,2018,Ages_5-99,81,3,Plastic box,NA,330,Retail,Small
70424,Ghost Train Express,Hidden Side,698,79.99,100.63,2019,Ages_8+,136,6,Box,NA,268,Retail,Small
72004,Tech Wizard Showdown,NA,506,39.99,138.99,2018,Ages_8-14,116,3,Box,NA,197,Retail,NA
60218,Desert Rally Racer,City,75,9.99,18.81,2019,Ages_5+,36,1,Box,0.16Kg (0.35 lb),45,Retail,Small
41421,Baby Elephant Jungle Rescue,Friends,203,19.99,19.99,2020,Ages_6+,68,2,Box,NA,111,Retail,Small
75893,2018 Dodge Challenger SRT Demon and 1970 Dodge Charger R/T,Speed Champions,478,29.99,24,2019,Ages_7+,124,3,Box,0.54Kg (1.19 lb),159,Retail,Small
60209,Diamond Heist,City,400,59.99,86.95,2019,Ages_6+,160,4,Box,0.8Kg (1.76 lb),191,Retail,Small
75968,4 Privet Drive,Harry Potter™,797,69.99,69.95,2020,Ages_8+,184,6,Box,NA,255,Retail,Small
75941,Indominus rex vs. Ankylosaurus,Jurassic World™,537,99.99,99.99,2020,Ages_8+,112,5,Box,NA,216,Retail,Small
41153,Ariel's Royal Celebration Boat,Disney™,380,49.99,82.75,2018,Ages_6-12,108,2,Box,0.65Kg (1.43 lb),156,Retail,Small
70660,Spinjitzu Jay,NINJAGO®,97,9.99,29.44,2019,Ages_7+,32,1,Box,0.13Kg (0.29 lb),23,Retail,Small
76097,Lex Luthor Mech Takedown,DC,406,39.99,57.99,2018,Ages_7-14,84,5,Box,NA,159,Retail,Small
31076,Daredevil Stunt Plane,Creator 3-in-1,200,19.99,35,2018,Ages_7-12,120,1,Box,NA,86,Retail,Small
41916,Extra Dots - Series 2,DOTS,109,3.99,3.44,2020,Ages_6+,NA,NA,Foil pack,NA,6,Retail,Small
10910,Submarine Adventure,DUPLO®,24,19.99,17.99,2019,Ages_2+,8,2,Box,NA,22,Retail,Large
75945,Expecto Patronum,Harry Potter™,121,19.99,15.99,2019,Ages_7+,48,3,Box,NA,55,Retail,Small
76101,Outrider Dropship Attack,Marvel,124,14.99,21.95,2018,Ages_6-12,52,3,Box,0.18Kg (0.4 lb),63,Retail,Small
41255,Pop Village Celebration,Trolls World Tour,380,49.99,39.99,2020,Ages_6+,120,5,Box,NA,205,Retail,Small
10277,Crocodile Locomotive,Creator Expert,1271,99.99,99.99,2020,Ages_18+,132,2,Box,1.54Kg (3.39 lb),212,Retail - limited,Small
71372,Cat Mario Power-Up Pack,LEGO® Super Mario™,11,9.99,14.52,2020,Ages_6+,NA,NA,Box,NA,9,Retail,Small
21156,BigFig Creeper and Ocelot,Minecraft™,184,14.99,11.99,2020,Ages_7+,48,NA,Box,NA,65,Retail,Small
75219,Imperial AT-Hauler,Star Wars™,829,99.99,106.54,2018,Ages_9-14,148,5,Box,1.4Kg (3.08 lb),206,Retail,Small
71711,Jay's Cyber Dragon,NINJAGO®,518,49.99,44.99,2020,Ages_8+,84,5,Box,NA,189,Retail,Small
21054,The White House,Architecture,1483,99.99,99.95,2020,Ages_18+,188,NA,Box,NA,180,Retail - limited,Small
60229,Rocket Assembly &Transport,City,1055,149.99,134.99,2019,Ages_7+,340,8,Box,2.38Kg (5.23 lb),364,Retail,Small
76107,Thanos: Ultimate Battle,Marvel,674,69.99,92.84,2018,Ages_8-14,116,4,Box,1.02Kg (2.25 lb),190,Retail,Small
10917,Fire Truck,DUPLO®,6,6.99,6.29,2020,Ages_1½+,3,NA,Box with backing card,0.15Kg (0.33 lb),6,Retail,Large
41389,Ice Cream Cart,Friends,97,9.99,8.99,2020,Ages_6+,40,1,Box,NA,60,Retail,Small
41433,Party Boat,Friends,640,79.99,79.99,2020,Ages_7+,184,3,Box,NA,270,Retail,Small
41252,Poppy's Air Balloon Adventure,Trolls World Tour,250,29.99,24.86,2020,Ages_6+,68,3,Box,NA,121,Retail,Small
60257,Service Station,City,354,49.99,42.99,2020,Ages_5+,193,4,Box,0.7Kg (1.55 lb),179,Retail,Small
70837,Shimmer & Shine Sparkle Spa!,THE LEGO® MOVIE 2™,694,69.99,45.49,2019,Ages_7+,128,8,Box,NA,209,Retail,Small
41606,Star-Lord,BrickHeadz,113,9.99,23.79,2018,Ages_10+,40,NA,Box,NA,51,Retail,Small
10873,Minnie's Birthday Party,Disney™,21,19.99,17.99,2018,Ages_2-5,12,1,Box,0.36Kg (0.79 lb),18,Retail,Small
76111,Batman: Brother Eye Takedown,Batman™,269,29.99,37,2018,Ages_6-12,76,3,Box,0.46Kg (1.01 lb),103,Retail,Small
41602,Rey,Star Wars™,119,9.99,20.5,2018,Ages_10+,36,NA,Box,NA,50,Retail,Small
70841,Benny's Space Squad,THE LEGO® MOVIE 2™,68,9.99,19.88,2019,Ages_5+,32,5,Box,0.09Kg (0.2 lb),53,Retail,Small
70422,Shrimp Shack Attack,Hidden Side,578,49.99,39.99,2019,Ages_8+,128,5,Box,NA,293,Retail,Small
41195,Emily & Noctura's Showdown,NA,650,49.99,162.49,2018,Ages_8-12,144,4,Box,NA,246,Retail,NA
21322,Pirates of Barracuda Bay,Ideas,2545,199.99,199.99,2020,Ages_16+,460,10,Box,4.43Kg (9.76 lb),575,Retail - limited,Small
75930,Indoraptor Rampage at Lockwood Estate,Jurassic World™,1019,129.99,206.05,2018,Ages_8-12,176,6,Box,1.89Kg (4.16 lb),257,Retail,Small
41163,Rapunzel's Small Tower,Disney™,44,9.99,18.94,2019,Ages_5+,24,1,NA,0.09Kg (0.2 lb),28,NA,Small
70647,Kai - Dragon Master,NINJAGO®,92,14.99,20.32,2018,Ages_8-14,48,1,Box,NA,53,Retail,Small
75228,Escape Pod vs. Dewback Microfighters,Star Wars™,177,19.99,44.89,2019,Ages_6+,64,3,Box,0.2Kg (0.44 lb),79,Retail,Small
75953,Hogwarts Whomping Willow,Harry Potter™,753,69.99,55.99,2018,Ages_8-14,148,6,Box,1.1Kg (2.42 lb),253,Retail,Small
75226,Inferno Squad Battle Pack,Star Wars™,118,14.99,36.99,2019,Ages_6+,40,4,Box,0.12Kg (0.26 lb),52,Retail,Small
60247,Forest Fire,City,84,9.99,8.99,2020,Ages_5+,56,1,Box,0.13Kg (0.3 lb),49,Retail,Small
60177,Airshow Jet,City,87,9.99,23.29,2018,Ages_5-12,56,1,Box,NA,53,Retail,Small
60228,Deep Space Rocket and Launch Control,City,837,99.99,89.99,2019,Ages_7+,304,7,Box,1.83Kg (4.03 lb),308,Retail,Small
75236,Duel on Starkiller Base,Star Wars™,191,19.99,28.75,2019,Ages_6+,68,2,Box,NA,83,Retail,Small
42114,6x6 Volvo Articulated Hauler,Technic™,2193,249.99,249.99,2020,Ages_11+,456,NA,Box,NA,234,Retail,Small
10898,My First Mickey Build,Disney™,9,9.99,9.99,2019,Ages_1½+,10,NA,Box,0.24Kg (0.53 lb),8,Retail,Small
76160,Mobile Bat Base,DC,743,89.99,89.99,2020,Ages_8+,140,6,Box,NA,275,Retail,Small
71709,Jay and Lloyd's Velocity Racers,NINJAGO®,322,29.99,23.99,2020,Ages_7+,148,3,Box,NA,142,Retail,Small
21052,Dubai,Architecture,740,59.99,57.44,2020,Ages_16+,112,NA,Box,NA,127,Retail - limited,Small
70435,Newbury Abandoned Prison,Hidden Side,400,39.99,39.99,2020,Ages_7+,132,4,Box,NA,164,Retail,Small
43174,Mulan's Storybook Adventures,Disney™,124,19.99,15.99,2020,Ages_5+,3,3,Box,NA,72,Retail,Small
10770,Buzz & Woody's Carnival Mania!,Disney™,230,49.99,32.8,2019,Ages_4+,52,5,Box,NA,106,Retail,Small
60171,Mountain Fugitives,City,88,9.99,16.49,2018,Ages_5-12,36,4,Box,NA,61,Retail,Small
70820,LEGO Movie Maker,THE LEGO® MOVIE 2™,482,49.99,37.99,2019,Ages_8+,96,6,Box,0.76Kg (1.67 lb),243,Retail,Small
10261,Roller Coaster,Creator Expert,4124,379.99,379.95,2018,Ages_16+,440,11,Box,5.8Kg (12.78 lb),556,Retail - limited,Small
60237,Curves & Crossroad,City,2,14.99,11.99,2019,Ages_5+,NA,NA,Shrink-wrapped,0.2Kg (0.44 lb),2,Retail,Small
71712,Empire Temple of Madness,NINJAGO®,810,79.99,71.99,2020,Ages_9+,160,6,Box,NA,267,Retail,Small
75955,Hogwarts Express,Harry Potter™,801,79.99,63.99,2018,Ages_8-14,124,6,Box,1.37Kg (3.02 lb),261,Retail,Small
75220,Sandcrawler,Star Wars™,1239,139.99,219.98,2018,Ages_9-14,188,6,Box,1.77Kg (3.9 lb),277,Retail,Small
70431,The Lighthouse of Darkness,Hidden Side,540,49.99,44.99,2020,Ages_8+,156,5,Box,NA,240,Retail,Small
41374,Andrea's Pool Party,Friends,468,49.99,40,2019,Ages_6+,112,2,Box,NA,221,Retail,Small
41609,Chewbacca,Star Wars™,149,9.99,36.95,2018,Ages_10+,40,NA,Box,NA,52,Retail,Small
31105,Townhouse Toy Store,Creator 3-in-1,554,39.99,39.95,2020,Ages_8+,268,2,Box,0.88Kg (1.94 lb),194,Retail,Small
10894,Toy Story Train,Disney™,21,19.99,15.99,2019,Ages_2+,8,2,Box,NA,19,Retail,Small
60172,Dirt Road Pursuit,City,297,39.99,64.75,2018,Ages_5-12,116,3,Box,0.6Kg (1.32 lb),140,Retail,Small
10751,Mountain Police Chase,Juniors,115,19.99,34.99,2018,Ages_4-7,64,2,Box,0.33Kg (0.73 lb),85,Retail,Small
41190,Emily Jones & The Eagle Getaway,NA,149,14.99,34.92,2018,Ages_7-12,60,2,Box,NA,87,Retail,NA
11010,White Baseplate,Classic,1,7.99,7.86,2020,Ages_4+,1,NA,Shrink-wrapped,NA,1,Retail,Small
41397,Juice Truck,Friends,103,19.99,17.99,2020,Ages_4+,52,2,Box,NA,75,Retail,Small
10881,Mickey's Boat,Disney™,28,29.99,47.99,2018,Ages_2-5,24,2,Box,0.58Kg (1.28 lb),25,Retail,Small
41428,Beach House,Friends,444,49.99,49.95,2020,Ages_6+,160,2,Box,NA,216,Retail,Small
10868,Farm Pony Stable,DUPLO®,59,29.99,83.94,2018,Ages_2-5,25,2,Box,NA,31,NA,Large
10909,Heart Box,DUPLO®,80,19.99,17.99,2020,Ages_1½+,2,NA,Box,NA,39,Retail,Large
60208,Parachute Arrest,City,218,39.99,31.46,2019,Ages_5+,120,4,Box,0.48Kg (1.05 lb),139,Retail,Small
70683,Spinjitzu Slam - Zane,NINJAGO®,63,9.99,18.47,2019,Ages_7+,40,1,Box,NA,37,Retail,Small
60210,Air Base,City,529,89.99,84.96,2019,Ages_6+,260,6,Box,1.22Kg (2.69 lb),270,Retail,Small
21150,Minecraft Skeleton BigFig with Magma Cube,Minecraft™,142,14.99,26.25,2019,Ages_7+,40,NA,Box,0.17Kg (0.37 lb),56,Retail,Small
75251,Darth Vader's Castle,Star Wars™,1060,129.99,129.99,2019,Ages_9+,188,5,Box,NA,285,Retail,Small
76096,Superman & Krypto Team-Up,DC,199,19.99,40,2018,Ages_6-12,76,2,Box,NA,110,Retail,Small
42082,Rough Terrain Crane,Technic™,4057,299.99,284.93,2018,Ages_11+,1527,NA,Box,6.1Kg (13.44 lb),262,Retail,Small
31093,Riverside Houseboat,Creator 3-in-1,396,39.99,39.98,2019,Ages_7+,200,2,Box,0.67Kg (1.48 lb),157,Retail,Small
41152,Sleeping Beauty's Fairytale Castle,Disney™,322,39.99,139.9,2018,Ages_6-12,84,3,Box,NA,171,Retail,Small
21144,The Farm Cottage,Minecraft™,549,49.99,199.95,2018,Ages_8+,116,3,Box,NA,157,Retail,Small
31084,Pirate Roller Coaster,Creator 3-in-1,923,89.99,169,2018,Ages_9-14,324,5,Box,1.94Kg (4.27 lb),277,Retail,Small
10862,My First Celebration,DUPLO®,41,14.99,39.89,2018,Ages_1½-3,9,NA,Box,NA,18,NA,Large
60179,Ambulance Helicopter,City,190,19.99,37.95,2018,Ages_5-12,84,3,Box,0.41Kg (0.9 lb),108,Retail,Small
60186,Mining Heavy Driller,City,294,49.99,69.99,2018,Ages_5-12,124,3,Box,0.78Kg (1.71 lb),139,Retail,Small
31074,Rocket Rally Car,Creator 3-in-1,241,19.99,35,2018,Ages_7-12,148,NA,Box,0.44Kg (0.97 lb),104,Retail,Small
76119,Batmobile: Pursuit of The Joker,Batman™,342,29.99,36.23,2019,Ages_7+,80,2,Box,NA,114,Retail,Small
11008,Bricks and Houses,Classic,270,19.99,19.95,2020,Ages_4+,77,NA,Box,NA,121,Retail,Small
76130,Stark Jet and the Drone Attack,Spider-Man,504,69.99,55.99,2019,Ages_8+,96,4,Box,NA,176,Retail,Small
71701,Kai's Fire Dragon,NINJAGO®,81,19.99,17.99,2020,Ages_4+,60,2,Box,NA,48,Retail,Small
75317,The Mandalorian & The Child,Star Wars™,295,19.99,19.95,2020,Ages_10+,88,NA,Box,NA,123,Retail,Small
75935,Baryonyx Face-Off: The Treasure Hunt,Jurassic World™,434,59.99,47.99,2019,Ages_7+,96,4,Box,NA,211,Retail,Small
10871,Airport,DUPLO®,29,24.99,22.49,2018,Ages_2-5,20,3,Box,0.66Kg (1.45 lb),24,NA,Large
41328,Stephanie's Bedroom,Friends,95,9.99,28.87,2018,Ages_6-12,44,1,Box,NA,72,Retail,Small
41917,Magic Forest Bracelet,DOTS,33,4.99,4.99,2020,Ages_6+,NA,NA,Foil pack,NA,9,Retail,Small
75275,A-wing Starfighter,Star Wars™,1673,199.99,199.99,2020,Ages_18+,272,1,Box,NA,355,Retail,Small
21047,Las Vegas,Architecture,501,39.99,49.99,2018,Ages_12+,108,NA,Box,NA,123,Retail,Small
31081,Modular Skate House,Creator 3-in-1,422,39.99,83.49,2018,Ages_8-12,196,2,Box,0.81Kg (1.78 lb),169,Retail,Small
41168,Elsa's Jewellery Box,LEGO® Frozen 2,300,39.99,31.99,2019,Ages_6+,96,1,Box,NA,89,Retail,Small
31198,The Beatles,LEGO® Art,2933,119.99,119.99,2020,Ages_18+,NA,NA,Box,NA,35,LEGO exclusive,Small
10900,Police Bike,DUPLO®,8,9.99,8.99,2019,Ages_2+,10,1,Box,0.18Kg (0.4 lb),7,Retail,Large
60240,Kayak Adventure,City,84,9.99,23.22,2019,Ages_5+,36,1,Box,0.15Kg (0.33 lb),48,Retail - limited,Small
76122,Batcave Clayface Invasion,Batman™,1038,99.99,99.95,2019,Ages_8+,168,6,Box,NA,333,Retail,Small
76102,Thor's Weapon Quest,Marvel,223,19.99,48.71,2018,Ages_6-12,84,3,Box,0.33Kg (0.73 lb),112,Retail,Small
70654,Dieselnaut,NINJAGO®,1179,109.99,214.93,2018,Ages_9-14,156,7,Box,1.75Kg (3.85 lb),308,Retail,Small
41911,Go Team! Bracelet,DOTS,33,4.99,4.99,2020,Ages_6+,NA,NA,Foil pack,NA,12,Retail,Small
70848,Systar Party Crew,THE LEGO® MOVIE 2™,196,19.99,15.66,2019,Ages_7+,80,2,Box,NA,104,Retail,Small
10753,The Joker Batcave Attack,Batman™,151,24.99,45.95,2018,Ages_4-7,76,3,Box,0.41Kg (0.9 lb),94,Retail,Small
42078,Mack Anthem,Technic™,2595,179.99,330,2018,Ages_11-16,897,NA,Box,3.46Kg (7.62 lb),253,Retail,Small
21161,The Crafting Box 3.0,Minecraft™,564,69.99,69.99,2020,Ages_8+,180,4,Box,NA,128,Retail,Small
21147,The Bedrock Adventures,Minecraft™,644,89.99,161.95,2018,Ages_8+,108,4,Box,1.27Kg (2.8 lb),168,Retail,Small
21314,TRON: Legacy,Ideas,230,34.99,78.95,2018,Ages_10+,68,3,Box,NA,73,Retail - limited,Small
43180,Belle's Castle Winter Celebration,Disney™,238,49.99,49.95,2020,Ages_4+,108,6,Box,NA,146,Retail,Small
10927,Pizza Stand,DUPLO®,18,9.99,8.99,2020,Ages_2+,12,1,Box,NA,15,Retail,Large
10767,Duke Caboom's Stunt Show,Disney™,120,19.99,19.99,2019,Ages_4+,48,2,Box,NA,62,Retail,Small
71365,Piranha Plant Power Slide,LEGO® Super Mario™,217,29.99,29.95,2020,Ages_7+,NA,3,Box,NA,78,Retail,Small
76146,Spider-Man Mech,Marvel,152,9.99,9.84,2020,Ages_6+,68,1,Box,NA,62,Retail,Small
71715,Jay Avatar - Arcade Pod,NINJAGO®,47,9.99,8.99,2020,Ages_7+,3,2,Box with backing card,NA,28,Retail,Small
70830,Sweet Mayhem's Systar Starship!,THE LEGO® MOVIE 2™,502,69.99,99.99,2019,Ages_9+,100,3,Box,0.91Kg (2 lb),188,Retail,Small
31086,Futuristic Flyer,Creator 3-in-1,157,14.99,12.93,2019,Ages_7+,136,NA,Box,0.27Kg (0.59 lb),65,Retail,Small
70682,Spinjitzu Slam - Jay,NINJAGO®,72,9.99,14.43,2019,Ages_7+,44,1,Box,NA,37,Retail,Small
60248,Fire Helicopter Response,City,93,29.99,23.98,2020,Ages_5+,44,3,Box,0.25Kg (0.55 lb),61,Retail,Small
10713,Creative Suitcase,Classic,213,19.99,15.99,2018,Ages_4-99,36,NA,Plastic box,0.84Kg (1.85 lb),89,Retail,Small
75224,Sith Infiltrator Microfighter,Star Wars™,92,9.99,23.4,2019,Ages_6+,40,1,Box,0.1Kg (0.22 lb),45,Retail,Small
70684,Spinjitzu Slam - Kai vs. Samurai,NINJAGO®,164,19.99,21.87,2019,Ages_8+,76,2,Box,NA,67,Retail,Small
41453,Party Time,Unikitty!™,214,19.99,15.95,2018,Ages_6-12,80,4,Box,0.27Kg (0.59 lb),119,Retail,Small
70681,Spinjitzu Slam - Lloyd,NINJAGO®,70,9.99,15.28,2019,Ages_7+,44,1,Box,NA,34,Retail,Small
41162,"Ariel, Aurora, and Tiana's Royal Celebration",Disney™,282,39.99,94.49,2019,Ages_5+,108,3,NA,NA,131,NA,Small
21142,The Polar Igloo,Minecraft™,278,29.99,67.39,2018,Ages_8+,84,2,Box,0.56Kg (1.23 lb),95,Retail,Small
42111,Dom's Dodge Charger,Technic™,1077,99.99,99.95,2020,Ages_10+,236,NA,Box,NA,172,Retail - limited,Small
42103,Dragster,Technic™,225,19.99,19.99,2020,Ages_7+,80,NA,Box,NA,68,Retail,Small
71373,Builder Mario Power-Up Pack,LEGO® Super Mario™,10,9.99,17.4,2020,Ages_6+,NA,NA,Box,NA,8,Retail,Small
21145,The Skull Arena,Minecraft™,198,19.99,36.81,2018,Ages_7-14,68,2,Box,0.42Kg (0.93 lb),68,Retail,Small
71376,Thwomp Drop,LEGO® Super Mario™,393,39.99,39.99,2020,Ages_8+,NA,NA,Box,NA,159,Retail - limited,Small
76113,Spider-Man Bike Rescue,Marvel,235,19.99,31.85,2019,Ages_6+,92,3,Box,0.34Kg (0.75 lb),98,Retail,Small
42093,Chevrolet Corvette ZR1,Technic™,579,49.99,49.99,2019,Ages_9+,233,NA,Box,0.79Kg (1.74 lb),105,Retail,Small
